ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
R_17_1,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
R_15_1,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15
R_17_2,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
R_14_1,I,0.58,0.42,0.16,0.728,0.2725,0.19,0.19,14
R_14_2,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14
R_14_3,I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14
R_17_3,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
R_15_2,I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,15
R_14_4,I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14
R_21_1,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
R_17_4,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
R_18_1,I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18
R_17_5,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
R_14_5,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
R_18_2,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
R_17_6,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17
R_14_6,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
R_17_7,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
R_15_3,I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15
R_18_3,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
R_18_4,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
R_14_7,I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14
R_14_8,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
R_15_4,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
R_17_8,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
R_16_1,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
R_19_1,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
R_17_9,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
R_14_9,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
R_17_10,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
R_14_10,I,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14
R_18_5,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
R_14_11,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
R_15_5,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15
