ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
1,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8
2,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
3,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
4,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
5,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
6,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
7,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
8,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
9,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
10,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
11,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
12,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
13,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11
14,M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
15,M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
16,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
17,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
18,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
19,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
20,M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
21,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
22,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
23,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
24,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
25,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10
26,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
27,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
28,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
29,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
30,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
31,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
32,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
33,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
34,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
35,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
36,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
37,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
38,M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
39,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
40,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
41,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
42,M,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
