ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,Shell_humidity_weight
1,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7,0.134
2,I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8,0.143
3,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4,0.002
4,M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13,0.438
5,F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13,0.343
6,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19,0.367
7,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,0.4
8,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,0.137
9,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9,0.066
10,F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11,0.396
11,M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11,0.669
12,M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9,0.244
13,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,0.102
14,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6,0.047
15,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8,0.162
16,I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10,0.167
17,I,0.415,0.335,0.1,0.358,0.169,0.067,0.105,7,0.084
18,I,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,7,0.057
19,I,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,4,0.017
20,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,0.243
21,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8,0.292
22,F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6,0.081
23,I,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,8,0.187
24,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15,0.301
25,F,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,9,0.406
26,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12,0.07
27,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14,0.176
28,I,0.37,0.27,0.095,0.2175,0.097,0.046,0.065,6,0.055
29,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8,0.231
30,F,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14,0.272
31,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17,0.278
32,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,0.006
33,I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8,0.066
34,I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8,0.051
35,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8,0.485
36,I,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10,0.621
37,M,0.64,0.575,0.175,1.4585,0.625,0.266,0.4395,11,0.394
38,M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9,0.223
39,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9,0.222
40,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8,0.116
41,F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9,0.332
42,F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10,0.283
43,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,0.16
44,M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10,0.461
45,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7,0.133
46,F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8,0.203
47,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,0.053
48,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7,0.131
49,I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11,0.293
50,M,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11,0.076
51,I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9,0.201
52,F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11,0.484
53,I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8,0.209
54,F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10,0.416
55,F,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,10,0.428
56,M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10,0.284
57,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7,0.127
58,F,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,11,0.422
59,F,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10,0.06
60,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6,0.032
61,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9,0.24
62,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9,0.143
63,M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11,0.3
64,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9,0.054
65,I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8,0.053
